Service;Project;Namespace;ClassName;ClassId;FilePath;LOC;NOM;NOF;WMC;RFC;CBO;Cyclomatic;LayerViolations;CycleInvolvement;FanIn;FanOut;Instability;R_size;R_complexity;R_coupling;R_architecture;CQS;Decision;PrimaryCause;RecommendedAction
WebApi;WebApi;WebApi.Controllers.v1;StripeWebhookController;WebApi:WebApi.Controllers.v1.StripeWebhookController;WebApi/Controllers/StripeWebhookController.cs;58.00;1.00;2.00;1.00;9.00;5.00;5.00;0.00;0.00;0.00;0.00;0.00;0.64;0.81;0.65;0.50;34.37;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
NotificationService;NotificationService.Infrastructure.Persistence;NotificationService.Infrastructure.Persistence.Contexts;NotificationDbContext;NotificationService.Infrastructure.Persistence:NotificationService.Infrastructure.Persistence.Contexts.NotificationDbContext;NotificationService/NotificationService.Infrastructure.Persistence/Contexts/NotificationDbContext.cs;37.00;2.00;0.00;2.00;8.00;5.00;7.00;0.00;0.00;1.00;0.00;0.00;0.54;0.88;0.65;0.50;34.54;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
AuthServer;AuthServer;AuthServer.Controllers;AccountController;AuthServer:AuthServer.Controllers.AccountController;AuthServer/Controllers/AccountController.cs;34.00;4.00;1.00;4.00;5.00;2.00;4.00;0.00;0.00;0.00;0.00;0.00;0.65;0.92;0.55;0.50;34.60;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
AuthServer;AuthServer;AuthServer.Migrations;Initial;AuthServer:AuthServer.Migrations.Initial;AuthServer/Migrations/20220805094358_Initial.cs;241.00;2.00;0.00;2.00;18.00;10.00;2.00;0.00;0.00;0.00;0.00;0.00;0.62;0.78;0.67;0.50;34.86;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Infrastructure.Persistence;Infrastructure.Persistence.Migrations;Initial;Infrastructure.Persistence:Infrastructure.Persistence.Migrations.Initial;Infrastructure.Persistence/Migrations/20220812063812_Initial.cs;189.00;2.00;0.00;2.00;15.00;9.00;2.00;0.00;0.00;0.00;0.00;0.00;0.62;0.78;0.67;0.50;34.89;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
DiscountService;DiscountService.Application;DiscountService.Application.Features.Coupons.RPCHandlers;UseCouponRPCHandler;DiscountService.Application:DiscountService.Application.Features.Coupons.RPCHandlers.UseCouponRPCHandler;DiscountService/DiscountService.Application/Features/Coupons/RPCHandlers/UseCouponRPCHandler.cs;56.00;1.00;2.00;1.00;4.00;4.00;5.00;0.00;0.00;0.00;0.00;0.00;0.63;0.81;0.63;0.50;35.06;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
DiscountService;DiscountService.Infrastructure.Persistence;DiscountService.Infrastructure.Persistence.Repositories;CouponRepositoryAsync;DiscountService.Infrastructure.Persistence:DiscountService.Infrastructure.Persistence.Repositories.CouponRepositoryAsync;DiscountService/DiscountService.Infrastructure.Persistence/Repositories/CouponRepositoryAsync.cs;38.00;3.00;1.00;3.00;8.00;2.00;5.00;0.00;0.00;0.00;0.00;0.00;0.63;0.91;0.55;0.50;35.20;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
OrderService;OrderService;OrderService.Controllers.v1;OrderController;OrderService:OrderService.Controllers.v1.OrderController;OrderService/OrderService/Controllers/OrderController.cs;31.00;4.00;0.00;4.00;2.00;2.00;4.00;0.00;0.00;0.00;0.00;0.00;0.59;0.92;0.55;0.50;35.71;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Features.Categories.Queries.GetCategoryProductsById;GetCategoryProductsByIdQueryHandler;Application:Application.Features.Categories.Queries.GetCategoryProductsById.GetCategoryProductsByIdQueryHandler;Application/Features/Categories/Queries/GetCategoryProductsById/GetCategoryProductsByIdQuery.cs;34.00;1.00;3.00;1.00;5.00;5.00;3.00;0.00;0.00;0.00;0.00;0.00;0.63;0.76;0.65;0.50;35.72;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Domain;Domain.Entities;Product;Domain:Domain.Entities.Product;Domain/Entities/Product.cs;13.00;0.00;10.00;0.00;0.00;3.00;0.00;0.00;0.00;0.00;2.00;1.00;0.59;0.39;0.93;0.50;35.77;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
OrderService;OrderService.Infrastructure.Persistence;OrderService.Infrastructure.Persistence.Migrations;Initial;OrderService.Infrastructure.Persistence:OrderService.Infrastructure.Persistence.Migrations.Initial;OrderService/Infrastructure.Persistence/Migrations/20220812063459_Initial.cs;67.00;2.00;0.00;2.00;8.00;5.00;2.00;0.00;0.00;0.00;0.00;0.00;0.60;0.78;0.65;0.50;35.95;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
DiscountService;DiscountService.Infrastructure.Persistence;DiscountService.Infrastructure.Persistence.Migrations;Initial;DiscountService.Infrastructure.Persistence:DiscountService.Infrastructure.Persistence.Migrations.Initial;DiscountService/DiscountService.Infrastructure.Persistence/Migrations/20220818143611_Initial.cs;59.00;2.00;0.00;2.00;8.00;5.00;2.00;0.00;0.00;0.00;0.00;0.00;0.59;0.78;0.65;0.50;36.15;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Features.Sellers.Queries.GetSellerProductsByIdentityId;GetSellerProductsByIdentityIdQueryHandler;Application:Application.Features.Sellers.Queries.GetSellerProductsByIdentityId.GetSellerProductsByIdentityIdQueryHandler;Application/Features/Sellers/Queries/GetSellerProductsByIdentityId/GetSellerProductsByIdentityIdQuery.cs;34.00;1.00;3.00;1.00;5.00;4.00;3.00;0.00;0.00;0.00;0.00;0.00;0.63;0.76;0.63;0.50;36.35;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
DiscountService;DiscountService.Application;DiscountService.Application.Features.Coupons.RPCHandlers;CreateCouponRPCHandler;DiscountService.Application:DiscountService.Application.Features.Coupons.RPCHandlers.CreateCouponRPCHandler;DiscountService/DiscountService.Application/Features/Coupons/RPCHandlers/CreateCouponRPCHandler.cs;35.00;1.00;3.00;1.00;4.00;5.00;2.00;0.00;0.00;0.00;0.00;0.00;0.63;0.72;0.65;0.50;36.74;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Features.Customers.Commands.UpdateAddress;UpdateAddressCommandHandler;Application:Application.Features.Customers.Commands.UpdateAddress.UpdateAddressCommandHandler;Application/Features/Customers/Commands/UpdateAddress/UpdateAddressCommand.cs;29.00;1.00;3.00;1.00;4.00;4.00;3.00;0.00;0.00;0.00;0.00;0.00;0.61;0.76;0.63;0.50;36.75;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Features.Categories.Queries.GetAllCategories;GetAllCategoriesQueryHandler;Application:Application.Features.Categories.Queries.GetAllCategories.GetAllCategoriesQueryHandler;Application/Features/Categories/Queries/GetAllCategories/GetAllCategoriesQuery.cs;32.00;1.00;3.00;1.00;5.00;5.00;2.00;0.00;0.00;0.00;0.00;0.00;0.62;0.72;0.65;0.50;36.97;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Features.Customers.Commands.DeleteAddress;DeleteAddressCommandHandler;Application:Application.Features.Customers.Commands.DeleteAddress.DeleteAddressCommandHandler;Application/Features/Customers/Commands/DeleteAddress/DeleteAddressCommand.cs;25.00;1.00;3.00;1.00;4.00;4.00;3.00;0.00;0.00;0.00;0.00;0.00;0.59;0.76;0.63;0.50;37.09;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Features.Products.Queries.GetProductById;GetProductByIdViewModel;Application:Application.Features.Products.Queries.GetProductById.GetProductByIdViewModel;Application/Features/Products/Queries/GetProductById/GetProductByIdViewModel.cs;15.00;0.00;11.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;2.00;1.00;0.60;0.39;0.89;0.50;37.10;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Features.Products.Queries.GetAllProducts;GetAllProductsViewModel;Application:Application.Features.Products.Queries.GetAllProducts.GetAllProductsViewModel;Application/Features/Products/Queries/GetAllProducts/GetAllProductsViewModel.cs;14.00;0.00;11.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;2.00;1.00;0.60;0.39;0.89;0.50;37.19;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Features.SharedViewModels;ProductViewModel;Application:Application.Features.SharedViewModels.ProductViewModel;Application/Features/SharedViewModels/ProductViewModel.cs;14.00;0.00;11.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;2.00;1.00;0.60;0.39;0.89;0.50;37.19;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Features.Orders.Commands.CreateOrder;CancelOrderCommandHandler;Application:Application.Features.Orders.Commands.CreateOrder.CancelOrderCommandHandler;Application/Features/Orders/Commands/CancelOrder/CancelOrderCommand.cs;36.00;1.00;3.00;1.00;6.00;4.00;2.00;0.00;0.00;0.00;0.00;0.00;0.64;0.72;0.63;0.50;37.30;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Infrastructure.Persistence;Infrastructure.Persistence.Seeds;DefaultProducts;Infrastructure.Persistence:Infrastructure.Persistence.Seeds.DefaultProducts;Infrastructure.Persistence/Seeds/DefaultProducts.cs;44.00;1.00;0.00;1.00;17.00;5.00;4.00;0.00;0.00;0.00;0.00;0.00;0.51;0.79;0.65;0.50;37.37;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Services;AuthService;Application:Application.Services.AuthService;Application/Services/AuthService.cs;56.00;3.00;1.00;3.00;5.00;1.00;3.00;0.00;0.00;7.00;0.00;0.00;0.68;0.86;0.50;0.50;37.39;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
WebApi;WebApi;WebApi.Controllers;BasketController;WebApi:WebApi.Controllers.BasketController;WebApi/Controllers/BasketController.cs;25.00;3.00;1.00;3.00;4.00;2.00;3.00;0.00;0.00;0.00;0.00;0.00;0.58;0.86;0.55;0.50;37.42;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Features.Sellers.Commands.CreateSeller;CreateSellerCommand;Application:Application.Features.Sellers.Commands.CreateSeller.CreateSellerCommand;Application/Features/Sellers/Commands/CreateSeller/CreateSellerCommand.cs;23.00;0.00;8.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;1.00;0.63;0.39;0.83;0.50;38.35;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Features.Categories.Queries.GetCategoryProductsById;GetCategoryProductsByIdProductViewModel;Application:Application.Features.Categories.Queries.GetCategoryProductsById.GetCategoryProductsByIdProductViewModel;Application/Features/Categories/Queries/GetCategoryProductsById/GetCategoryProductsByIdProductViewModel.cs;13.00;0.00;10.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;1.00;0.59;0.39;0.83;0.50;39.20;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Features.Sellers.Commands.UpdateSeller;UpdateSellerCommand;Application:Application.Features.Sellers.Commands.UpdateSeller.UpdateSellerCommand;Application/Features/Sellers/Commands/UpdateSeller/UpdateSellerCommand.cs;17.00;0.00;6.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;1.00;0.59;0.39;0.83;0.50;39.21;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Features.Sellers.Queries.GetAllSellers;GetAllSellersViewModel;Application:Application.Features.Sellers.Queries.GetAllSellers.GetAllSellersViewModel;Application/Features/Sellers/Queries/GetAllSellers/GetAllSellersViewModel.cs;13.00;0.00;7.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;1.00;0.58;0.39;0.83;0.50;39.39;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Features.Sellers.Queries.GetSellerByIdentityId;GetSellerByIdentityIdViewModel;Application:Application.Features.Sellers.Queries.GetSellerByIdentityId.GetSellerByIdentityIdViewModel;Application/Features/Sellers/Queries/GetSellerByIdentityId/GetSellerByIdentityIdViewModel.cs;11.00;0.00;8.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;1.00;0.58;0.39;0.83;0.50;39.46;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Features.Sellers.Queries.GetSellerProductsByIdentityId;GetSellerProductsByIdentityIdViewModel;Application:Application.Features.Sellers.Queries.GetSellerProductsByIdentityId.GetSellerProductsByIdentityIdViewModel;Application/Features/Sellers/Queries/GetSellerProductsByIdentityId/GetSellerProductsByIdentityIdViewModel.cs;11.00;0.00;8.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;1.00;0.58;0.39;0.83;0.50;39.46;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Features.SharedViewModels;SellerViewModel;Application:Application.Features.SharedViewModels.SellerViewModel;Application/Features/SharedViewModels/SellerViewModel.cs;12.00;0.00;7.00;0.00;0.00;1.00;0.00;0.00;0.00;4.00;1.00;0.20;0.58;0.39;0.83;0.50;39.48;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Domain;Domain.Entities;Seller;Domain:Domain.Entities.Seller;Domain/Entities/Seller.cs;10.00;0.00;7.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;0.50;0.57;0.39;0.83;0.50;39.66;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
DiscountService;DiscountService.Domain;DiscountService.Domain.Entities;UsedCoupon;DiscountService.Domain:DiscountService.Domain.Entities.UsedCoupon;DiscountService/DiscountService.Domain/Entities/UsedCoupon.cs;5.00;0.00;2.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;1.00;0.39;0.39;0.83;0.50;43.21;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
